https://api.eia.gov/v2/electricity/retail-sales/data/,,,"{""frequency"":""annual"",""data"":[""price""],""facets"":{""stateid"": [""AL"", ""AR"", ""AZ"", ""CA"", ""CO"", ""CT"", ""DC"", ""DE"", ""ENC"", ""ESC"", ""MD"", ""MA"", ""MAT"", ""LA"", ""KY"", ""KS"", ""IN"", ""IL"", ""ID"", ""IA"", ""HI"", ""GA"", ""ESC"", ""AK"", ""AL"", ""AZ"", ""CA"", ""CO"", ""DC"", ""DE"", ""ESC"", ""GA"", ""HI"", ""IA"", ""ID"", ""IL"", ""IN"", ""KS"", ""MAT"", ""LA"", ""KS"", ""IN"", ""IL"", ""ID"", ""IA"", ""HI"", ""AZ"", ""CA"", ""CO"", ""DC"", ""DE"", ""ESC"", ""GA"", ""IA"", ""ID"", ""IL"", ""IN"", ""KS"", ""LA"", ""MAT"", ""MA"", ""MD"", ""ME"", ""MI"", ""MN"", ""MO"", ""MS"", ""MTN"", ""MT"", ""NC"", ""ND"", ""NEW"", ""NE"", ""NH"", ""NJ"", ""NM"", ""NV"", ""NY"", ""OH"", ""OK"", ""OR"", ""PACC"", ""PACN"", ""PA"", ""RI"", ""SAT"", ""SC"", ""SD"", ""TN"", ""TX"", ""US"", ""UT"", ""VA"", ""VT"", ""WA"", ""WI"", ""WNC"", ""WSC"", ""WV"", ""WY""]},""start"":""2001"",""end"":""2019"",""sort"":[{""column"":""period"",""direction"":""desc""}],""offset"":0,""length"":5000}",,,
Category,Category,Frequency,Data,Facet,,
Electricity,Electricity Sales to Ultimate Customers,annual,price,State / Census Region,,
electricity,retail-sales,annual,price,stateid,,
2012,WY,Wyoming,TRA,transportation,0,cents per kilowatthour
2012,WY,Wyoming,RES,residential,9.85,cents per kilowatthour
2012,WY,Wyoming,OTH,other,,cents per kilowatthour
2012,WY,Wyoming,IND,industrial,6.03,cents per kilowatthour
2012,WY,Wyoming,COM,commercial,8.24,cents per kilowatthour
2012,WY,Wyoming,ALL,all sectors,7.19,cents per kilowatthour
2012,WI,Wisconsin,TRA,transportation,0,cents per kilowatthour
2012,WI,Wisconsin,RES,residential,13.19,cents per kilowatthour
2012,WI,Wisconsin,OTH,other,,cents per kilowatthour
2012,WI,Wisconsin,IND,industrial,7.34,cents per kilowatthour
2012,WI,Wisconsin,COM,commercial,10.51,cents per kilowatthour
2012,WI,Wisconsin,ALL,all sectors,10.28,cents per kilowatthour
2012,WV,West Virginia,TRA,transportation,8.66,cents per kilowatthour
2012,WV,West Virginia,RES,residential,9.85,cents per kilowatthour
2012,WV,West Virginia,OTH,other,,cents per kilowatthour
2012,WV,West Virginia,IND,industrial,6.33,cents per kilowatthour
2012,WV,West Virginia,COM,commercial,8.42,cents per kilowatthour
2012,WV,West Virginia,ALL,all sectors,8.14,cents per kilowatthour
2012,WA,Washington,TRA,transportation,8.06,cents per kilowatthour
2012,WA,Washington,RES,residential,8.53,cents per kilowatthour
2012,WA,Washington,OTH,other,,cents per kilowatthour
2012,WA,Washington,IND,industrial,4.13,cents per kilowatthour
2012,WA,Washington,COM,commercial,7.68,cents per kilowatthour
2012,WA,Washington,ALL,all sectors,6.94,cents per kilowatthour
2012,VA,Virginia,TRA,transportation,8.51,cents per kilowatthour
2012,VA,Virginia,RES,residential,11.08,cents per kilowatthour
2012,VA,Virginia,OTH,other,,cents per kilowatthour
2012,VA,Virginia,IND,industrial,6.72,cents per kilowatthour
2012,VA,Virginia,COM,commercial,8.08,cents per kilowatthour
2012,VA,Virginia,ALL,all sectors,9.07,cents per kilowatthour
2012,VT,Vermont,TRA,transportation,0,cents per kilowatthour
2012,VT,Vermont,RES,residential,17.01,cents per kilowatthour
2012,VT,Vermont,OTH,other,,cents per kilowatthour
2012,VT,Vermont,IND,industrial,9.98,cents per kilowatthour
2012,VT,Vermont,COM,commercial,14.32,cents per kilowatthour
2012,VT,Vermont,ALL,all sectors,14.22,cents per kilowatthour
2012,UT,Utah,TRA,transportation,9.79,cents per kilowatthour
2012,UT,Utah,RES,residential,9.93,cents per kilowatthour
2012,UT,Utah,OTH,other,,cents per kilowatthour
2012,UT,Utah,IND,industrial,5.62,cents per kilowatthour
2012,UT,Utah,COM,commercial,8.06,cents per kilowatthour
2012,UT,Utah,ALL,all sectors,7.84,cents per kilowatthour
2012,TX,Texas,TRA,transportation,10.54,cents per kilowatthour
2012,TX,Texas,RES,residential,10.98,cents per kilowatthour
2012,TX,Texas,OTH,other,,cents per kilowatthour
2012,TX,Texas,IND,industrial,5.57,cents per kilowatthour
2012,TX,Texas,COM,commercial,8.16,cents per kilowatthour
2012,TX,Texas,ALL,all sectors,8.55,cents per kilowatthour
2012,TN,Tennessee,TRA,transportation,11.28,cents per kilowatthour
2012,TN,Tennessee,RES,residential,10.1,cents per kilowatthour
2012,TN,Tennessee,OTH,other,,cents per kilowatthour
2012,TN,Tennessee,IND,industrial,7.08,cents per kilowatthour
2012,TN,Tennessee,COM,commercial,10.31,cents per kilowatthour
2012,TN,Tennessee,ALL,all sectors,9.27,cents per kilowatthour
2012,SD,South Dakota,TRA,transportation,0,cents per kilowatthour
2012,SD,South Dakota,RES,residential,10.07,cents per kilowatthour
2012,SD,South Dakota,OTH,other,,cents per kilowatthour
2012,SD,South Dakota,IND,industrial,6.57,cents per kilowatthour
2012,SD,South Dakota,COM,commercial,8.1,cents per kilowatthour
2012,SD,South Dakota,ALL,all sectors,8.49,cents per kilowatthour
2012,SC,South Carolina,TRA,transportation,0,cents per kilowatthour
2012,NJ,New Jersey,ALL,all sectors,13.68,cents per kilowatthour
2012,NH,New Hampshire,TRA,transportation,0,cents per kilowatthour
2012,NH,New Hampshire,RES,residential,16.07,cents per kilowatthour
2012,NH,New Hampshire,OTH,other,,cents per kilowatthour
2012,NH,New Hampshire,IND,industrial,11.83,cents per kilowatthour
2012,NH,New Hampshire,COM,commercial,13.36,cents per kilowatthour
2012,NH,New Hampshire,ALL,all sectors,14.19,cents per kilowatthour
2012,NV,Nevada,TRA,transportation,8.4,cents per kilowatthour
2012,NV,Nevada,RES,residential,11.83,cents per kilowatthour
2012,NV,Nevada,OTH,other,,cents per kilowatthour
2012,NV,Nevada,IND,industrial,6.48,cents per kilowatthour
2012,NV,Nevada,COM,commercial,8.83,cents per kilowatthour
2012,NV,Nevada,ALL,all sectors,8.95,cents per kilowatthour
2012,NE,Nebraska,TRA,transportation,0,cents per kilowatthour
2012,NE,Nebraska,RES,residential,10.04,cents per kilowatthour
2012,NE,Nebraska,OTH,other,,cents per kilowatthour
2012,NE,Nebraska,IND,industrial,7.01,cents per kilowatthour
2012,NE,Nebraska,COM,commercial,8.38,cents per kilowatthour
2012,NE,Nebraska,ALL,all sectors,8.37,cents per kilowatthour
2012,MT,Montana,TRA,transportation,0,cents per kilowatthour
2012,MT,Montana,RES,residential,10.08,cents per kilowatthour
2012,MT,Montana,OTH,other,,cents per kilowatthour
2012,MT,Montana,IND,industrial,5.1,cents per kilowatthour
2012,MT,Montana,COM,commercial,9.13,cents per kilowatthour
2012,MT,Montana,ALL,all sectors,8.25,cents per kilowatthour
2012,MO,Missouri,TRA,transportation,6.97,cents per kilowatthour
2012,MO,Missouri,RES,residential,10.17,cents per kilowatthour
2012,MO,Missouri,OTH,other,,cents per kilowatthour
2012,MO,Missouri,IND,industrial,5.89,cents per kilowatthour
2012,MO,Missouri,COM,commercial,8.2,cents per kilowatthour
2012,MO,Missouri,ALL,all sectors,8.53,cents per kilowatthour
2012,MS,Mississippi,TRA,transportation,0,cents per kilowatthour
2012,MS,Mississippi,RES,residential,10.26,cents per kilowatthour
2012,MS,Mississippi,OTH,other,,cents per kilowatthour
2012,MS,Mississippi,IND,industrial,6.24,cents per kilowatthour
2012,MS,Mississippi,COM,commercial,9.33,cents per kilowatthour
2012,MS,Mississippi,ALL,all sectors,8.6,cents per kilowatthour
2012,MN,Minnesota,TRA,transportation,8.67,cents per kilowatthour
2012,MN,Minnesota,RES,residential,11.35,cents per kilowatthour
2012,MN,Minnesota,OTH,other,,cents per kilowatthour
2012,MN,Minnesota,IND,industrial,6.54,cents per kilowatthour
2012,MN,Minnesota,COM,commercial,8.84,cents per kilowatthour
2012,MN,Minnesota,ALL,all sectors,8.86,cents per kilowatthour
2012,NY,New York,TRA,transportation,14.2,cents per kilowatthour
2012,NY,New York,RES,residential,17.62,cents per kilowatthour
2012,NY,New York,OTH,other,,cents per kilowatthour
2012,NY,New York,IND,industrial,6.7,cents per kilowatthour
2012,NY,New York,COM,commercial,15.06,cents per kilowatthour
2012,NY,New York,ALL,all sectors,15.15,cents per kilowatthour
2012,NM,New Mexico,TRA,transportation,0,cents per kilowatthour
2012,NM,New Mexico,RES,residential,11.37,cents per kilowatthour
2012,NM,New Mexico,OTH,other,,cents per kilowatthour
2012,NM,New Mexico,IND,industrial,5.83,cents per kilowatthour
2012,NM,New Mexico,COM,commercial,9.32,cents per kilowatthour
2012,NM,New Mexico,ALL,all sectors,8.83,cents per kilowatthour
2012,NJ,New Jersey,TRA,transportation,9.77,cents per kilowatthour
2012,NJ,New Jersey,RES,residential,15.78,cents per kilowatthour
2012,NJ,New Jersey,OTH,other,,cents per kilowatthour
2012,NJ,New Jersey,IND,industrial,10.52,cents per kilowatthour
2011,SAT,South Atlantic,RES,residential,11.19,cents per kilowatthour
2011,WSC,West South Central,COM,commercial,8.56,cents per kilowatthour
2011,WSC,West South Central,ALL,all sectors,8.54,cents per kilowatthour
2011,ESC,East South Central,TRA,transportation,12.07,cents per kilowatthour
2011,ESC,East South Central,RES,residential,10.14,cents per kilowatthour
2011,ESC,East South Central,OTH,other,,cents per kilowatthour
2011,US,U.S. Total,RES,residential,11.72,cents per kilowatthour
2011,US,U.S. Total,OTH,other,,cents per kilowatthour
2011,US,U.S. Total,IND,industrial,6.82,cents per kilowatthour
2011,US,U.S. Total,COM,commercial,10.24,cents per kilowatthour
2011,US,U.S. Total,ALL,all sectors,9.9,cents per kilowatthour
2011,PACN,Pacific Noncontiguous,TRA,transportation,0,cents per kilowatthour
2011,PACN,Pacific Noncontiguous,RES,residential,27.49,cents per kilowatthour
2011,PACN,Pacific Noncontiguous,OTH,other,,cents per kilowatthour
2011,PACN,Pacific Noncontiguous,IND,industrial,25.02,cents per kilowatthour
2011,PACN,Pacific Noncontiguous,COM,commercial,24.45,cents per kilowatthour
2011,PACN,Pacific Noncontiguous,ALL,all sectors,25.57,cents per kilowatthour
2011,PACC,Pacific Contiguous,TRA,transportation,8.13,cents per kilowatthour
2011,PACC,Pacific Contiguous,RES,residential,12.43,cents per kilowatthour
2011,PACC,Pacific Contiguous,OTH,other,,cents per kilowatthour
2011,PACC,Pacific Contiguous,IND,industrial,7.62,cents per kilowatthour
2011,PACC,Pacific Contiguous,COM,commercial,11.61,cents per kilowatthour
2011,PACC,Pacific Contiguous,ALL,all sectors,11.01,cents per kilowatthour
2011,MTN,Mountain,TRA,transportation,9.48,cents per kilowatthour
2011,MTN,Mountain,RES,residential,10.56,cents per kilowatthour
2011,MTN,Mountain,OTH,other,,cents per kilowatthour
2011,MTN,Mountain,IND,industrial,6.08,cents per kilowatthour
2011,MTN,Mountain,COM,commercial,8.86,cents per kilowatthour
2011,MTN,Mountain,ALL,all sectors,8.63,cents per kilowatthour
2011,WSC,West South Central,TRA,transportation,9.85,cents per kilowatthour
2011,WSC,West South Central,RES,residential,10.42,cents per kilowatthour
2011,WSC,West South Central,OTH,other,,cents per kilowatthour
2011,WSC,West South Central,IND,industrial,6,cents per kilowatthour
2011,US,U.S. Total,TRA,transportation,10.46,cents per kilowatthour
2011,OR,Oregon,RES,residential,9.54,cents per kilowatthour
2011,DE,Delaware,OTH,other,,cents per kilowatthour
2011,DE,Delaware,IND,industrial,8.91,cents per kilowatthour
2011,DE,Delaware,COM,commercial,10.64,cents per kilowatthour
2011,DE,Delaware,ALL,all sectors,11.48,cents per kilowatthour
2011,CT,Connecticut,TRA,transportation,10.25,cents per kilowatthour
2011,CT,Connecticut,RES,residential,18.11,cents per kilowatthour
2011,CT,Connecticut,OTH,other,,cents per kilowatthour
2011,CT,Connecticut,IND,industrial,13.24,cents per kilowatthour
2011,CT,Connecticut,COM,commercial,15.57,cents per kilowatthour
2011,CT,Connecticut,ALL,all sectors,16.35,cents per kilowatthour
2011,CO,Colorado,TRA,transportation,9.79,cents per kilowatthour
2011,CO,Colorado,RES,residential,11.27,cents per kilowatthour
2011,CO,Colorado,OTH,other,,cents per kilowatthour
2011,CO,Colorado,IND,industrial,7.06,cents per kilowatthour
2011,CO,Colorado,COM,commercial,9.44,cents per kilowatthour
2011,CO,Colorado,ALL,all sectors,9.39,cents per kilowatthour
2011,CA,California,TRA,transportation,8.14,cents per kilowatthour
2011,CA,California,RES,residential,14.78,cents per kilowatthour
2011,CA,California,OTH,other,,cents per kilowatthour
2011,CA,California,IND,industrial,10.11,cents per kilowatthour
2011,CA,California,COM,commercial,13.05,cents per kilowatthour
2011,CA,California,ALL,all sectors,13.05,cents per kilowatthour
2011,AR,Arkansas,TRA,transportation,11.1,cents per kilowatthour
2011,AR,Arkansas,RES,residential,9.02,cents per kilowatthour
2011,AR,Arkansas,OTH,other,,cents per kilowatthour
2011,OR,Oregon,OTH,other,,cents per kilowatthour
2011,OR,Oregon,IND,industrial,5.47,cents per kilowatthour
2011,OR,Oregon,COM,commercial,8.15,cents per kilowatthour
2011,OR,Oregon,ALL,all sectors,8.04,cents per kilowatthour
2011,OK,Oklahoma,TRA,transportation,0,cents per kilowatthour
2011,OK,Oklahoma,RES,residential,9.47,cents per kilowatthour
2011,OK,Oklahoma,OTH,other,,cents per kilowatthour
2011,OK,Oklahoma,IND,industrial,5.46,cents per kilowatthour
2011,OK,Oklahoma,COM,commercial,7.6,cents per kilowatthour
2011,OK,Oklahoma,ALL,all sectors,7.8,cents per kilowatthour
2011,OH,Ohio,TRA,transportation,6.64,cents per kilowatthour
2011,OH,Ohio,RES,residential,11.42,cents per kilowatthour
2011,OH,Ohio,OTH,other,,cents per kilowatthour
2011,OH,Ohio,IND,industrial,6.12,cents per kilowatthour
2011,NE,Nebraska,IND,industrial,6.43,cents per kilowatthour
2011,NE,Nebraska,COM,commercial,7.99,cents per kilowatthour
2011,NE,Nebraska,ALL,all sectors,7.88,cents per kilowatthour
2011,MT,Montana,TRA,transportation,0,cents per kilowatthour
2011,MT,Montana,RES,residential,9.75,cents per kilowatthour
2011,MT,Montana,OTH,other,,cents per kilowatthour
2011,MT,Montana,IND,industrial,5.27,cents per kilowatthour
2011,MT,Montana,COM,commercial,9.12,cents per kilowatthour
2011,MT,Montana,ALL,all sectors,8.23,cents per kilowatthour
2011,MO,Missouri,TRA,transportation,6.9,cents per kilowatthour
2011,MO,Missouri,RES,residential,9.75,cents per kilowatthour
2011,MO,Missouri,OTH,other,,cents per kilowatthour
2011,MO,Missouri,IND,industrial,5.85,cents per kilowatthour
2011,MO,Missouri,COM,commercial,8.04,cents per kilowatthour
2011,MO,Missouri,ALL,all sectors,8.32,cents per kilowatthour
2011,MS,Mississippi,TRA,transportation,0,cents per kilowatthour
2011,MS,Mississippi,RES,residential,10.17,cents per kilowatthour
2011,MS,Mississippi,OTH,other,,cents per kilowatthour
2011,MS,Mississippi,IND,industrial,6.53,cents per kilowatthour
2011,MS,Mississippi,COM,commercial,9.48,cents per kilowatthour
2011,MS,Mississippi,ALL,all sectors,8.78,cents per kilowatthour
2011,MN,Minnesota,TRA,transportation,8.23,cents per kilowatthour
2011,MN,Minnesota,RES,residential,10.96,cents per kilowatthour
2011,MN,Minnesota,OTH,other,,cents per kilowatthour
2011,MN,Minnesota,IND,industrial,6.47,cents per kilowatthour
2011,MN,Minnesota,COM,commercial,8.63,cents per kilowatthour
2011,MN,Minnesota,ALL,all sectors,8.65,cents per kilowatthour
2011,MI,Michigan,TRA,transportation,8.53,cents per kilowatthour
2011,MI,Michigan,RES,residential,13.27,cents per kilowatthour
2011,MI,Michigan,OTH,other,,cents per kilowatthour
2011,MI,Michigan,IND,industrial,7.32,cents per kilowatthour
2011,MI,Michigan,COM,commercial,10.33,cents per kilowatthour
2011,MI,Michigan,ALL,all sectors,10.4,cents per kilowatthour
2011,MA,Massachusetts,TRA,transportation,6.14,cents per kilowatthour
2011,MA,Massachusetts,RES,residential,14.67,cents per kilowatthour
2011,ME,Maine,TRA,transportation,0,cents per kilowatthour
2011,ME,Maine,RES,residential,15.38,cents per kilowatthour
2011,ME,Maine,OTH,other,,cents per kilowatthour
2011,ME,Maine,IND,industrial,8.88,cents per kilowatthour
2011,ME,Maine,COM,commercial,12.29,cents per kilowatthour
2011,ME,Maine,ALL,all sectors,12.58,cents per kilowatthour
2011,LA,Louisiana,TRA,transportation,8.33,cents per kilowatthour
2011,LA,Louisiana,RES,residential,8.96,cents per kilowatthour
2011,LA,Louisiana,OTH,other,,cents per kilowatthour
2011,LA,Louisiana,IND,industrial,5.69,cents per kilowatthour
2011,LA,Louisiana,COM,commercial,8.44,cents per kilowatthour
2011,LA,Louisiana,ALL,all sectors,7.68,cents per kilowatthour
2011,KY,Kentucky,TRA,transportation,0,cents per kilowatthour
2011,KY,Kentucky,RES,residential,9.2,cents per kilowatthour
2011,KY,Kentucky,OTH,other,,cents per kilowatthour
2011,KY,Kentucky,IND,industrial,5.33,cents per kilowatthour
2011,KY,Kentucky,COM,commercial,8.49,cents per kilowatthour
2011,KY,Kentucky,ALL,all sectors,7.17,cents per kilowatthour
2011,KS,Kansas,TRA,transportation,0,cents per kilowatthour
2011,KS,Kansas,RES,residential,10.65,cents per kilowatthour
2011,KS,Kansas,OTH,other,,cents per kilowatthour
2011,KS,Kansas,IND,industrial,6.71,cents per kilowatthour
2011,KS,Kansas,COM,commercial,8.78,cents per kilowatthour
2011,KS,Kansas,ALL,all sectors,8.89,cents per kilowatthour
2011,IA,Iowa,TRA,transportation,0,cents per kilowatthour
2011,IA,Iowa,RES,residential,10.46,cents per kilowatthour
2011,IA,Iowa,OTH,other,,cents per kilowatthour
2011,IA,Iowa,IND,industrial,5.21,cents per kilowatthour
2011,IA,Iowa,COM,commercial,7.85,cents per kilowatthour
2011,IA,Iowa,ALL,all sectors,7.56,cents per kilowatthour
2011,IN,Indiana,TRA,transportation,9.74,cents per kilowatthour
2011,IN,Indiana,RES,residential,10.06,cents per kilowatthour
2011,IN,Indiana,OTH,other,,cents per kilowatthour
2011,IN,Indiana,IND,industrial,6.17,cents per kilowatthour
2011,IN,Indiana,COM,commercial,8.77,cents per kilowatthour
2011,IN,Indiana,ALL,all sectors,8.01,cents per kilowatthour
2011,IL,Illinois,TRA,transportation,6.81,cents per kilowatthour
2011,IL,Illinois,RES,residential,11.78,cents per kilowatthour
2011,IL,Illinois,OTH,other,,cents per kilowatthour
2011,IL,Illinois,IND,industrial,6.42,cents per kilowatthour
2011,IL,Illinois,COM,commercial,8.64,cents per kilowatthour
2011,IL,Illinois,ALL,all sectors,8.97,cents per kilowatthour
2011,ID,Idaho,TRA,transportation,0,cents per kilowatthour
2011,ID,Idaho,RES,residential,7.87,cents per kilowatthour
2011,ID,Idaho,OTH,other,,cents per kilowatthour
2011,ID,Idaho,IND,industrial,5.1,cents per kilowatthour
2011,ID,Idaho,COM,commercial,6.41,cents per kilowatthour
2011,ID,Idaho,ALL,all sectors,6.44,cents per kilowatthour
2011,HI,Hawaii,TRA,transportation,0,cents per kilowatthour
2011,HI,Hawaii,RES,residential,34.68,cents per kilowatthour
2011,HI,Hawaii,OTH,other,,cents per kilowatthour
2011,HI,Hawaii,IND,industrial,28.4,cents per kilowatthour
2011,AR,Arkansas,IND,industrial,5.63,cents per kilowatthour
2011,AR,Arkansas,COM,commercial,7.5,cents per kilowatthour
2011,AR,Arkansas,ALL,all sectors,7.43,cents per kilowatthour
2011,AZ,Arizona,TRA,transportation,0,cents per kilowatthour
2011,AZ,Arizona,RES,residential,11.08,cents per kilowatthour
2011,AZ,Arizona,OTH,other,,cents per kilowatthour
2011,AZ,Arizona,IND,industrial,6.55,cents per kilowatthour
2011,AZ,Arizona,COM,commercial,9.5,cents per kilowatthour
2011,AZ,Arizona,ALL,all sectors,9.71,cents per kilowatthour
2011,AK,Alaska,TRA,transportation,0,cents per kilowatthour
2011,AK,Alaska,RES,residential,17.62,cents per kilowatthour
2011,AK,Alaska,OTH,other,,cents per kilowatthour
2011,AK,Alaska,IND,industrial,15.71,cents per kilowatthour
2011,AK,Alaska,COM,commercial,15.1,cents per kilowatthour
2011,AK,Alaska,ALL,all sectors,16.08,cents per kilowatthour
2011,AL,Alabama,TRA,transportation,0,cents per kilowatthour
2011,AL,Alabama,RES,residential,11.09,cents per kilowatthour
2011,AL,Alabama,OTH,other,,cents per kilowatthour
2011,AL,Alabama,IND,industrial,6.25,cents per kilowatthour
2011,AL,Alabama,COM,commercial,10.47,cents per kilowatthour
2011,AL,Alabama,ALL,all sectors,9.1,cents per kilowatthour
2011,NV,Nevada,RES,residential,11.61,cents per kilowatthour
2011,NV,Nevada,OTH,other,,cents per kilowatthour
2011,NV,Nevada,IND,industrial,6.65,cents per kilowatthour
2011,NV,Nevada,COM,commercial,9.05,cents per kilowatthour
2011,NV,Nevada,ALL,all sectors,8.97,cents per kilowatthour
2011,NE,Nebraska,TRA,transportation,0,cents per kilowatthour
2011,NE,Nebraska,RES,residential,9.32,cents per kilowatthour
2011,NE,Nebraska,OTH,other,,cents per kilowatthour
2011,SAT,South Atlantic,OTH,other,,cents per kilowatthour
2011,SAT,South Atlantic,IND,industrial,6.66,cents per kilowatthour
2011,SAT,South Atlantic,COM,commercial,9.46,cents per kilowatthour
2011,SAT,South Atlantic,ALL,all sectors,9.74,cents per kilowatthour
2011,WNC,West North Central,TRA,transportation,7.52,cents per kilowatthour
2011,WNC,West North Central,RES,residential,10.12,cents per kilowatthour
2011,WNC,West North Central,OTH,other,,cents per kilowatthour
2011,WNC,West North Central,IND,industrial,6.08,cents per kilowatthour
2011,WNC,West North Central,COM,commercial,8.23,cents per kilowatthour
2011,WNC,West North Central,ALL,all sectors,8.26,cents per kilowatthour
2011,ENC,East North Central,TRA,transportation,6.92,cents per kilowatthour
2011,ENC,East North Central,RES,residential,11.79,cents per kilowatthour
2011,ENC,East North Central,OTH,other,,cents per kilowatthour
2011,ENC,East North Central,IND,industrial,6.53,cents per kilowatthour
2011,ENC,East North Central,COM,commercial,9.49,cents per kilowatthour
2011,ENC,East North Central,ALL,all sectors,9.22,cents per kilowatthour
2011,MAT,Middle Atlantic,TRA,transportation,12.32,cents per kilowatthour
2011,MAT,Middle Atlantic,RES,residential,15.8,cents per kilowatthour
2011,MAT,Middle Atlantic,OTH,other,,cents per kilowatthour
2011,MAT,Middle Atlantic,IND,industrial,8.17,cents per kilowatthour
2011,MAT,Middle Atlantic,COM,commercial,13.65,cents per kilowatthour
2011,MAT,Middle Atlantic,ALL,all sectors,13.37,cents per kilowatthour
2011,NEW,New England,TRA,transportation,7.85,cents per kilowatthour
2011,NEW,New England,RES,residential,15.89,cents per kilowatthour
2011,NEW,New England,OTH,other,,cents per kilowatthour
2011,NEW,New England,IND,industrial,12.55,cents per kilowatthour
2011,NEW,New England,COM,commercial,14.31,cents per kilowatthour
2011,NEW,New England,ALL,all sectors,14.49,cents per kilowatthour
2011,WY,Wyoming,TRA,transportation,0,cents per kilowatthour
2011,WY,Wyoming,RES,residential,9.11,cents per kilowatthour
2011,WY,Wyoming,OTH,other,,cents per kilowatthour
2011,WY,Wyoming,IND,industrial,5.41,cents per kilowatthour
2011,WY,Wyoming,COM,commercial,7.72,cents per kilowatthour
2011,WY,Wyoming,ALL,all sectors,6.58,cents per kilowatthour
2011,WI,Wisconsin,TRA,transportation,0,cents per kilowatthour
2011,WI,Wisconsin,RES,residential,13.02,cents per kilowatthour
2011,WI,Wisconsin,OTH,other,,cents per kilowatthour
2011,WI,Wisconsin,IND,industrial,7.33,cents per kilowatthour
2011,WI,Wisconsin,COM,commercial,10.42,cents per kilowatthour
2011,WI,Wisconsin,ALL,all sectors,10.21,cents per kilowatthour
2011,WV,West Virginia,TRA,transportation,8.6,cents per kilowatthour
2011,WV,West Virginia,RES,residential,9.39,cents per kilowatthour
2011,WV,West Virginia,OTH,other,,cents per kilowatthour
2011,WV,West Virginia,IND,industrial,6.18,cents per kilowatthour
2011,WV,West Virginia,COM,commercial,8.14,cents per kilowatthour
2011,WV,West Virginia,ALL,all sectors,7.88,cents per kilowatthour
2011,WA,Washington,TRA,transportation,8.54,cents per kilowatthour
2011,WA,Washington,RES,residential,8.28,cents per kilowatthour
2011,WA,Washington,OTH,other,,cents per kilowatthour
2011,WA,Washington,IND,industrial,4.09,cents per kilowatthour
2011,WA,Washington,COM,commercial,7.49,cents per kilowatthour
2011,WA,Washington,ALL,all sectors,6.78,cents per kilowatthour
2011,VA,Virginia,TRA,transportation,8.24,cents per kilowatthour
2011,VA,Virginia,RES,residential,10.64,cents per kilowatthour
2011,VA,Virginia,OTH,other,,cents per kilowatthour
2011,VA,Virginia,IND,industrial,6.49,cents per kilowatthour
2011,VA,Virginia,COM,commercial,7.95,cents per kilowatthour
2011,HI,Hawaii,COM,commercial,32.37,cents per kilowatthour
2011,HI,Hawaii,ALL,all sectors,31.59,cents per kilowatthour
2011,GA,Georgia,TRA,transportation,7.94,cents per kilowatthour
2011,GA,Georgia,RES,residential,11.05,cents per kilowatthour
2011,GA,Georgia,OTH,other,,cents per kilowatthour
2011,GA,Georgia,IND,industrial,6.6,cents per kilowatthour
2011,GA,Georgia,COM,commercial,9.87,cents per kilowatthour
2011,GA,Georgia,ALL,all sectors,9.61,cents per kilowatthour
2011,VA,Virginia,ALL,all sectors,8.84,cents per kilowatthour
2011,VT,Vermont,TRA,transportation,0,cents per kilowatthour
2011,VT,Vermont,RES,residential,16.26,cents per kilowatthour
2011,VT,Vermont,OTH,other,,cents per kilowatthour
2011,VT,Vermont,IND,industrial,9.83,cents per kilowatthour
2011,VT,Vermont,COM,commercial,14,cents per kilowatthour
2011,VT,Vermont,ALL,all sectors,13.8,cents per kilowatthour
2011,UT,Utah,TRA,transportation,9.24,cents per kilowatthour
2011,UT,Utah,RES,residential,8.96,cents per kilowatthour
2011,UT,Utah,OTH,other,,cents per kilowatthour
2011,UT,Utah,IND,industrial,5.1,cents per kilowatthour
2011,UT,Utah,COM,commercial,7.35,cents per kilowatthour
2011,UT,Utah,ALL,all sectors,7.13,cents per kilowatthour
2011,TX,Texas,TRA,transportation,10.08,cents per kilowatthour
2011,TX,Texas,RES,residential,11.08,cents per kilowatthour
2011,TX,Texas,OTH,other,,cents per kilowatthour
2011,TX,Texas,IND,industrial,6.24,cents per kilowatthour
2011,TX,Texas,COM,commercial,8.83,cents per kilowatthour
2011,TX,Texas,ALL,all sectors,9,cents per kilowatthour
2011,TN,Tennessee,TRA,transportation,12.07,cents per kilowatthour
2011,TN,Tennessee,RES,residential,9.98,cents per kilowatthour
2011,TN,Tennessee,OTH,other,,cents per kilowatthour
2011,TN,Tennessee,IND,industrial,7.23,cents per kilowatthour
2011,TN,Tennessee,COM,commercial,10.27,cents per kilowatthour
2011,TN,Tennessee,ALL,all sectors,9.28,cents per kilowatthour
2011,SD,South Dakota,TRA,transportation,0,cents per kilowatthour
2011,SD,South Dakota,RES,residential,9.35,cents per kilowatthour
2011,DC,District of Columbia,TRA,transportation,10.19,cents per kilowatthour
2011,DC,District of Columbia,RES,residential,13.4,cents per kilowatthour
2011,DC,District of Columbia,OTH,other,,cents per kilowatthour
2011,DC,District of Columbia,IND,industrial,6.89,cents per kilowatthour
2011,DC,District of Columbia,COM,commercial,12.9,cents per kilowatthour
2011,DC,District of Columbia,ALL,all sectors,12.81,cents per kilowatthour
2011,DE,Delaware,TRA,transportation,0,cents per kilowatthour
